img_a,img_b,method,dcor,dcov,mic_e,tic_e,pearson,img
img_1_noise_mid,img_1_noise_high,hist,0.9989707601184878,1483.5357832839218,0.9999559719934968,40.44219223772124,0.9987511957357704,1
img_1_noise_high,img_1_noise_high,full,1.0000000000001217,0.3205787676303496,1.0000000000000038,13344.90495974687,0.9999999999999998,1
img_1_noise_high,img_1_noise_high,hist,1.0,1462.856493110275,1.0000000000000002,41.34079549835391,1.0,1
img_2_bw,img_2_bw,full,1.0032396994777268,0.0980865120578199,0.9999999873849528,13347.779225408536,0.9999999999999992,2
img_2_bw,img_2_bw,hist,1.0,1147.8452454386363,1.0000000000000002,41.31749441890989,1.0,2
img_2_bw,img_2_noise_low,full,0.7960858981939534,0.0846282256138939,0.4371824001251413,4017.409961468957,0.8399402983383524,2
img_2_bw,img_2_noise_low,hist,0.7757667739128664,986.6151828855212,0.6754635447491655,25.01234841924046,0.7180082886605843,2
img_2_bw,img_2_noise_mid,full,0.4123249138420162,0.0595789266456994,0.1048556186035125,861.1330696381197,0.4578339248846731,2
img_2_bw,img_2_noise_mid,hist,0.7100518034115758,924.7858169715018,0.638776822768804,23.269936418665,0.6229690403145067,2
img_2_bw,img_2_noise_high,full,0.2641226155882758,0.0475386177814647,0.0434061357549708,344.949885557081,0.2953041960016873,2
